Team Name,Record,Pts,Pts/game
 
Carolina,40-14-10,90,1.41
Tampa Bay,42-18-4,88,1.38
Florida,39-18-5,83,1.34
Nashville,33-25-4,70,1.13
Dallas,23-19-14,60,1.07
Chicago,24-25-7,55,0.98
Columbus,18-26-12,48,0.86
Detroit,19-27-10,48,0.86
 
Boston,38-16-9,85,1.35
Pittsburgh,39-18-5,83,1.34
NY Islanders,37-20-7,81,1.27
Washington,37-17-7,81,1.33
NY Rangers,27-23-6,60,1.07
Philadelphia,25-23-8,58,1.04
New Jersey,19-30-7,45,0.8
Buffalo,15-34-7,37,0.66
 
Toronto,38-16-9,85,1.35
Edmonton,35-20-5,75,1.25
Winnipeg,34-23-3,71,1.18
Montreal,28-24-11,67,1.06
Calgary,26-27-3,55,0.98
Ottawa,23-28-5,51,0.91
Vancouver,23-29-4,50,0.89
 
Colorado,44-13-4,92,1.51
Vegas,44-17-3,91,1.42
Minnesota,38-20-5,81,1.29
St. Louis,27-24-9,63,1.05
Arizona,24-26-6,54,0.96
Los Angeles,21-28-7,49,0.88
San Jose,21-28-7,49,0.88
Anaheim,17-30-9,43,0.77
