Team Name,Record,Pts,Pts/game
 
Carolina,31-10-5,67,1.46
Florida,30-13-5,65,1.35
Tampa Bay,31-14-2,64,1.36
Nashville,26-21-2,54,1.1
Dallas,19-15-12,50,1.09
Chicago,22-21-5,49,1.02
Detroit,17-25-7,41,0.84
Columbus,15-25-9,39,0.8
 
Washington,30-13-4,64,1.36
NY Islanders,29-13-5,63,1.34
Pittsburgh,30-14-3,63,1.34
Boston,27-13-6,60,1.3
NY Rangers,24-18-6,54,1.12
Philadelphia,21-19-7,49,1.04
New Jersey,14-26-6,34,0.74
Buffalo,13-28-7,33,0.69
 
Toronto,29-13-5,63,1.34
Winnipeg,27-16-3,57,1.24
Edmonton,27-16-2,56,1.24
Montreal,20-16-9,49,1.09
Calgary,20-23-3,43,0.93
Vancouver,18-19-3,39,0.97
Ottawa,17-26-4,38,0.81
 
Vegas,33-11-2,68,1.48
Colorado,31-9-4,66,1.5
Minnesota,30-13-3,63,1.37
Arizona,20-22-5,45,0.96
St. Louis,19-19-6,44,1.0
San Jose,18-23-5,41,0.89
Los Angeles,17-21-6,40,0.91
Anaheim,14-26-7,35,0.74
