Team Name,Record,Pts,Pts/game
 
Carolina,27-9-4,58,1.45
Tampa Bay,28-11-2,58,1.41
Florida,26-12-4,56,1.33
Nashville,23-19-1,47,1.09
Chicago,19-18-5,43,1.02
Dallas,15-14-11,41,1.02
Columbus,15-20-8,38,0.88
Detroit,14-23-6,34,0.79
 
NY Islanders,27-11-4,58,1.38
Washington,27-11-4,58,1.38
Pittsburgh,27-13-2,56,1.33
Boston,21-12-6,48,1.23
NY Rangers,19-16-6,44,1.07
Philadelphia,19-16-6,44,1.07
New Jersey,14-20-6,34,0.85
Buffalo,10-25-6,26,0.63
 
Toronto,28-10-3,59,1.44
Winnipeg,25-13-3,53,1.29
Edmonton,25-15-2,52,1.24
Montreal,17-12-9,43,1.13
Calgary,17-21-3,37,0.9
Vancouver,16-18-3,35,0.95
Ottawa,13-25-4,30,0.71
 
Colorado,28-9-4,60,1.46
Vegas,27-11-2,56,1.4
Minnesota,24-13-3,51,1.27
St. Louis,19-16-6,44,1.07
Arizona,19-18-5,43,1.02
San Jose,18-18-4,40,1.0
Los Angeles,16-18-6,38,0.95
Anaheim,12-23-7,31,0.74
