Team Name,Record,Pts,Pts/game
 
Carolina,40-12-10,90,1.45
Tampa Bay,40-18-4,84,1.35
Florida,39-18-5,83,1.34
Nashville,33-25-4,70,1.13
Dallas,23-19-14,60,1.07
Chicago,24-25-7,55,0.98
Columbus,18-26-12,48,0.86
Detroit,19-27-10,48,0.86
 
Pittsburgh,39-18-5,83,1.34
Boston,37-16-8,82,1.34
Washington,37-17-7,81,1.33
NY Islanders,36-19-7,79,1.27
NY Rangers,27-23-6,60,1.07
Philadelphia,25-23-8,58,1.04
New Jersey,19-30-7,45,0.8
Buffalo,15-34-7,37,0.66
 
Toronto,38-15-8,84,1.38
Edmonton,35-20-5,75,1.25
Winnipeg,34-23-3,71,1.18
Montreal,26-24-11,63,1.03
Calgary,26-27-3,55,0.98
Ottawa,23-28-5,51,0.91
Vancouver,23-29-4,50,0.89
 
Vegas,44-16-3,91,1.44
Colorado,43-13-4,90,1.5
Minnesota,38-20-5,81,1.29
St. Louis,27-24-9,63,1.05
Arizona,24-26-6,54,0.96
Los Angeles,21-28-7,49,0.88
San Jose,21-28-7,49,0.88
Anaheim,17-30-9,43,0.77
