Team Name,Record,Pts,Pts/game
 
Carolina,38-12-10,86,1.43
Tampa Bay,39-17-4,82,1.37
Florida,38-17-5,81,1.35
Nashville,33-25-2,68,1.13
Dallas,23-19-14,60,1.07
Chicago,24-25-7,55,0.98
Columbus,18-26-12,48,0.86
Detroit,19-27-10,48,0.86
 
Boston,37-16-8,82,1.34
Pittsburgh,39-17-4,82,1.37
Washington,37-17-7,81,1.33
NY Islanders,34-19-7,75,1.25
NY Rangers,27-23-6,60,1.07
Philadelphia,25-23-8,58,1.04
New Jersey,19-30-7,45,0.8
Buffalo,15-34-7,37,0.66
 
Toronto,36-15-7,79,1.36
Edmonton,35-20-4,74,1.25
Winnipeg,33-23-3,69,1.17
Montreal,25-22-11,61,1.05
Calgary,26-27-3,55,0.98
Ottawa,23-28-5,51,0.91
Vancouver,23-29-4,50,0.89
 
Colorado,43-13-4,90,1.5
Vegas,43-14-3,89,1.48
Minnesota,36-19-5,77,1.28
St. Louis,27-24-9,63,1.05
Arizona,24-26-6,54,0.96
Los Angeles,21-28-7,49,0.88
San Jose,21-28-7,49,0.88
Anaheim,17-30-9,43,0.77
