Team Name,Record,Pts,Pts/game
 
Tampa Bay,21-6-2,44,1.52
Carolina,20-7-2,42,1.45
Florida,19-6-4,42,1.45
Chicago,14-12-5,33,1.06
Columbus,12-12-7,31,1.0
Nashville,13-16-1,27,0.9
Dallas,9-10-7,25,0.96
Detroit,10-17-4,24,0.77
 
Washington,20-6-4,44,1.47
NY Islanders,19-8-4,42,1.35
Pittsburgh,18-11-1,37,1.23
Boston,16-8-4,36,1.29
Philadelphia,15-10-3,33,1.18
NY Rangers,12-13-4,28,0.97
New Jersey,10-13-4,24,0.89
Buffalo,6-19-4,16,0.55
 
Edmonton,20-13-0,40,1.21
Toronto,19-10-2,40,1.29
Winnipeg,18-10-2,38,1.27
Montreal,13-8-9,35,1.17
Vancouver,16-16-2,34,1.0
Calgary,15-13-3,33,1.06
Ottawa,10-20-3,23,0.7
 
Vegas,21-6-1,43,1.54
Colorado,18-8-2,38,1.36
Minnesota,18-9-1,37,1.32
St. Louis,15-10-5,35,1.17
Los Angeles,12-11-6,30,1.03
Arizona,12-13-5,29,0.97
San Jose,11-13-4,26,0.93
Anaheim,9-16-6,24,0.77
