Team Name,Record,Pts,Pts/game
 
Florida,25-9-4,54,1.42
Tampa Bay,26-9-2,54,1.46
Carolina,24-9-3,51,1.42
Nashville,20-18-1,41,1.05
Chicago,17-17-5,39,1.0
Columbus,14-17-8,36,0.92
Dallas,13-12-10,36,1.03
Detroit,12-22-5,29,0.74
 
NY Islanders,24-10-4,52,1.37
Washington,24-9-4,52,1.41
Pittsburgh,24-12-2,50,1.32
Boston,19-10-5,43,1.26
NY Rangers,17-15-5,39,1.05
Philadelphia,17-14-5,39,1.08
New Jersey,13-16-6,32,0.91
Buffalo,8-23-6,22,0.59
 
Toronto,24-10-3,51,1.38
Edmonton,23-14-1,47,1.24
Winnipeg,22-13-3,47,1.24
Montreal,16-9-9,41,1.21
Calgary,16-19-3,35,0.92
Vancouver,16-18-3,35,0.95
Ottawa,13-21-4,30,0.79
 
Colorado,25-8-4,54,1.46
Vegas,24-10-2,50,1.39
Minnesota,23-11-2,48,1.33
Arizona,17-15-5,39,1.05
San Jose,17-16-4,38,1.03
St. Louis,16-15-6,38,1.03
Los Angeles,14-16-6,34,0.94
Anaheim,11-21-6,28,0.74
